,PhraseId,SentenceId,Phrase,Sentiment,final_subject,final_Phrase
0,1.0,1.0,"['[', ""'"", 'a', ""'"", ',', ""'series"", ""'"", ',', ""'of"", ""'"", ',', ""'escapades"", ""'"", ',', ""'demonstrating"", ""'"", ',', ""'the"", ""'"", ',', ""'adage"", ""'"", ',', ""'that"", ""'"", ',', ""'what"", ""'"", ',', ""'is"", ""'"", ',', ""'good"", ""'"", ',', ""'for"", ""'"", ',', ""'the"", ""'"", ',', ""'goose"", ""'"", ',', ""'is"", ""'"", ',', ""'also"", ""'"", ',', ""'good"", ""'"", ',', ""'for"", ""'"", ',', ""'the"", ""'"", ',', ""'gander"", ""'"", ',', ""'"", ',', ""'"", ',', ""'some"", ""'"", ',', ""'of"", ""'"", ',', ""'which"", ""'"", ',', ""'occasionally"", ""'"", ',', ""'amuses"", ""'"", ',', ""'but"", ""'"", ',', ""'none"", ""'"", ',', ""'of"", ""'"", ',', ""'which"", ""'"", ',', ""'amounts"", ""'"", ',', ""'to"", ""'"", ',', ""'much"", ""'"", ',', ""'of"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'story"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['series', 'escapade', 'demonstrate', 'adage', 'good', 'goose', 'also', 'good', 'gander', 'occasionally', 'amuse', 'none', 'amount', 'much', 'story']",[]
63,64.0,2.0,"['[', ""'this"", ""'"", ',', ""'quiet"", ""'"", ',', ""'"", ',', ""'"", ',', ""'introspective"", ""'"", ',', ""'and"", ""'"", ',', ""'entertaining"", ""'"", ',', ""'independent"", ""'"", ',', ""'is"", ""'"", ',', ""'worth"", ""'"", ',', ""'seeking"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['character', 'deeply', 'think', 'film']",[]
81,82.0,3.0,"['[', ""'even"", ""'"", ',', ""'fans"", ""'"", ',', ""'of"", ""'"", ',', ""'ismail"", ""'"", ',', ""'merchant"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'work"", ""'"", ',', ""'"", ',', ""'"", ',', ""'"", 'i', ""'"", ',', ""'suspect"", ""'"", ',', ""'"", ',', ""'"", ',', ""'would"", ""'"", ',', ""'have"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'hard"", ""'"", ',', ""'time"", ""'"", ',', ""'sitting"", ""'"", ',', ""'through"", ""'"", ',', ""'this"", ""'"", ',', ""'one"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['phillip', 'noyce', 'actor', 'well', 'cinematographer', 'christopher', 'doyle', 'understand', 'delicate', 'forcefulness', 'greene', 'prose', 'screen', 'version', 'quiet', 'american']",[]
116,117.0,4.0,"['[', ""'"", 'a', ""'"", ',', ""'positively"", ""'"", ',', ""'thrilling"", ""'"", ',', ""'combination"", ""'"", ',', ""'of"", ""'"", ',', ""'ethnography"", ""'"", ',', ""'and"", ""'"", ',', ""'all"", ""'"", ',', ""'the"", ""'"", ',', ""'intrigue"", ""'"", ',', ""'"", ',', ""'"", ',', ""'betrayal"", ""'"", ',', ""'"", ',', ""'"", ',', ""'deceit"", ""'"", ',', ""'and"", ""'"", ',', ""'murder"", ""'"", ',', ""'of"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'shakespearean"", ""'"", ',', ""'tragedy"", ""'"", ',', ""'or"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'juicy"", ""'"", ',', ""'soap"", ""'"", ',', ""'opera"", ""'"", ',', ""'"", '.', ""'"", ']']",3.0,"['devos', 'deliver', 'perfect', 'performance', 'capture', 'innocence', 'budding', 'demon', 'within', 'wallflower']",[]
156,157.0,5.0,"['[', ""'aggressive"", ""'"", ',', ""'self-glorification"", ""'"", ',', ""'and"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'manipulative"", ""'"", ',', ""'whitewash"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['rare', 'capability', 'soothe', 'break', 'heart', 'single', 'stroke']",[]
166,167.0,6.0,"['[', ""'"", 'a', ""'"", ',', ""'comedy-drama"", ""'"", ',', ""'of"", ""'"", ',', ""'nearly"", ""'"", ',', ""'epic"", ""'"", ',', ""'proportions"", ""'"", ',', ""'rooted"", ""'"", ',', ""'in"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'sincere"", ""'"", ',', ""'performance"", ""'"", ',', ""'by"", ""'"", ',', ""'the"", ""'"", ',', ""'title"", ""'"", ',', ""'character"", ""'"", ',', ""'undergoing"", ""'"", ',', ""'midlife"", ""'"", ',', ""'crisis"", ""'"", ',', ""'"", '.', ""'"", ']']",4.0,"['reason', 'exist', 'employ', 'hollywood', 'kid', 'people', 'owe', 'favor', 'famous', 'parent']",[]
198,199.0,7.0,"['[', ""'narratively"", ""'"", ',', ""'"", ',', ""'"", ',', ""'trouble"", ""'"", ',', ""'every"", ""'"", ',', ""'day"", ""'"", ',', ""'is"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'plodding"", ""'"", ',', ""'mess"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['superior', 'horror', 'flick']",[]
213,214.0,8.0,"['[', ""'the"", ""'"", ',', ""'importance"", ""'"", ',', ""'of"", ""'"", ',', ""'being"", ""'"", ',', ""'earnest"", ""'"", ',', ""'"", ',', ""'"", ',', ""'so"", ""'"", ',', ""'thick"", ""'"", ',', ""'with"", ""'"", ',', ""'wit"", ""'"", ',', ""'it"", ""'"", ',', ""'plays"", ""'"", ',', ""'like"", ""'"", ',', ""'"", 'a', ""'"", ',', ""'reading"", ""'"", ',', ""'from"", ""'"", ',', ""'bartlett"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'familiar"", ""'"", ',', ""'quotations"", ""'"", ']']",3.0,"['singularly', 'romantic', 'comedy']",[]
247,248.0,9.0,"['[', ""'but"", ""'"", ',', ""'it"", ""'"", ',', ""'does"", ""'"", ',', '``', ""n't"", ""''"", ',', ""'leave"", ""'"", ',', ""'you"", ""'"", ',', ""'with"", ""'"", ',', ""'much"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['sillier', 'cuter', 'short', 'first', 'best', 'remember', 'still', 'good', 'time', 'cinema']",[]
259,260.0,10.0,"['[', ""'you"", ""'"", ',', ""'could"", ""'"", ',', ""'hate"", ""'"", ',', ""'it"", ""'"", ',', ""'for"", ""'"", ',', ""'the"", ""'"", ',', ""'same"", ""'"", ',', ""'reason"", ""'"", ',', ""'"", '.', ""'"", ']']",1.0,"['one', 'joyous', 'film', 'leap', 'national', 'boundary', 'celebrates', 'universal', 'human', 'nature']",[]
